stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/1/private_monster_count,wave_data/2/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type
6504424,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_cityforestunder_004,point_fly_cityforestunder_004,sbg_cityforestunder_004_midclear,CityForestUnder,Day,ibg_cityforestunder_001,3420070121,path_grd_mid_centurion_902,3420070121,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
6504425,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_004,point_fly_cityforestunder_004,sbg_cityforestunder_004,CityForestUnder,Day,ibg_cityforestunder_001,2320060121,path_grd_mid_small_049,3220050121,Drop,3220050121.0,Drop,3220050121.0,Drop,3220050121.0,Drop,path_fly_mid_special_016,2210020121.0,Jump,2110010121.0,Jump,2110010121.0,Jump,1310010221.0,Jump,path_grd_close_small_051,1220040121.0,Dash,1220040121.0,Dash,1220040121.0,Dash,1220040121.0,Dash,path_fly_mid_small_050,0.0,1210020121.0,Jump,1210040121.0,Jump,1210020121.0,Dash,1210040121.0,Drop,path_grd_close_elite1_801,7.0,3220030121.0,Jump,3220030121.0,Jump,3220030121.0,Dash,2320060121.0,Drop,path_grd_close_small_001,,3220040121.0,Jump,3220040121.0,Jump,3220040121.0,Jump,3220040121.0,Jump,21,27,0,7.0,6.0,,,,,,,,,,,,,,,,,,,
6504426,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_003,point_fly_cityforestunder_003,sbg_cityforestunder_003,CityForestUnder,Day,ibg_cityforestunder_001,3310040121,path_grd_mid_small_052,3220040121,Drop,3220040121.0,Drop,3220040121.0,Drop,3220040121.0,Drop,path_fly_mid_special_047,1110010121.0,Jump,1110010121.0,Jump,2210010121.0,Drop,3310040221.0,Drop,path_grd_close_small_042,3220050121.0,Dash,3220050121.0,Dash,3220040121.0,Dash,2220040121.0,Dash,path_fly_mid_elite1_802,0.0,3210010121.0,Dash,3210010121.0,Dash,3210030121.0,Drop,3310040121.0,Drop,path_grd_close_small_069,7.0,3220050121.0,Drop,3220050121.0,Drop,3220040121.0,Drop,3220040121.0,Drop,,,,,,,,,,,12,30,0,7.0,7.0,,,,,,,,,,,,,,,,,,,
6504427,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_005,point_fly_cityforestunder_005,sbg_cityforestunder_005,CityForestUnder,Day,ibg_cityforestunder_001,3320040121,path_grd_far_small_053,1220060121,Dash,1220060121.0,Dash,1220060121.0,Dash,3220020121.0,Dash,path_grd_mid_elite1_802,3220050121.0,Jump,3220050121.0,Jump,2220050121.0,Drop,3320040221.0,Drop,path_fly_mid_small_050,2210010121.0,Drop,2210010121.0,Drop,2210010121.0,Drop,1210040121.0,Drop,path_grd_mid_elite2_808,0.0,3220050121.0,Jump,3220050121.0,Jump,3320040221.0,Drop,3320040121.0,Drop,path_fly_mid_special_016,6.0,2210010121.0,Drop,2110010121.0,Drop,2210010121.0,Drop,1210040121.0,Drop,,,,,,,,,,,0,39,6,6.0,,,,,,,,,,,,,,,,,,,,
6504428,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_002,point_fly_cityforestunder_002,sbg_cityforestunder_002,CityForestUnder,Day,ibg_cityforestunder_001,1320010121,path_grd_mid_small_002,1220040121,Jump,1220040121.0,Jump,1220040121.0,Jump,2220040121.0,Dash,path_grd_far_elite1_803,2220010121.0,Drop,2220010121.0,Drop,2220040121.0,Drop,1320010221.0,Drop,path_grd_mid_small_055,1220040121.0,Dash,1220040121.0,Dash,1220040121.0,Dash,1220050121.0,Dash,path_grd_far_elite1_803,0.0,2220010121.0,Drop,2220010121.0,Drop,2220040121.0,Drop,1320010121.0,Drop,path_grd_mid_small_070,7.0,1220040121.0,Jump,1220050121.0,Jump,1220040121.0,Jump,2220040121.0,Dash,path_grd_mid_small_043,6.0,2220010121.0,Drop,1220050121.0,Drop,2220010121.0,Drop,2220010121.0,Drop,0,24,18,6.0,10.0,,,,,,,,,,,,,,,,,,,
6504429,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_cityforestunder_003,point_fly_cityforestunder_003,sbg_cityforestunder_003,CityForestUnder,Day,ibg_cityforestunder_001,3310040121,path_fly_mid_small_021,2210020121,Drop,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,path_fly_mid_small_050,2210020121.0,Dash,2210020121.0,Dash,1210010121.0,Dash,3310040221.0,Drop,path_fly_mid_elite1_802,2210020121.0,Dash,2210020121.0,Dash,1210010121.0,Drop,1310020221.0,Drop,path_fly_mid_small_036,,2210020121.0,Dash,2210020121.0,Dash,2210020121.0,Dash,2210020121.0,Dash,path_fly_far_small_034,0.0,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,3310040121.0,Drop,path_fly_mid_elite2_808,8.0,2210020121.0,Dash,2210020121.0,Dash,1310020221.0,Drop,1310020221.0,Drop,0,42,6,,10.0,path_fly_mid_small_036,,1210010121.0,Drop,1210010121.0,Drop,2210020121.0,Dash,2210020121.0,Dash,,,,,,,,,
6504430,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_001,point_fly_cityforestunder_001,sbg_cityforestunder_001,CityForestUnder,Day,ibg_cityforestunder_001,2320020121,path_grd_mid_small_002,2220020121,Drop,2220020121.0,Drop,2220010121.0,Dash,2220010121.0,Dash,path_grd_mid_elite1_802,3220050121.0,Dash,3220050121.0,Dash,2220050121.0,Drop,2320020221.0,Drop,path_grd_far_small_071,3220060121.0,Dash,3220060121.0,Dash,3220060121.0,Dash,2220050121.0,Drop,path_fly_mid_small_030,,3210020121.0,Jump,3210020121.0,Jump,1210010121.0,Jump,1210010121.0,Jump,path_grd_mid_elite1_802,0.0,2220020121.0,Dash,2220020121.0,Dash,2220040121.0,Drop,2320020121.0,Drop,path_grd_far_small_047,6.0,3220060121.0,Jump,3220060121.0,Jump,3220060121.0,Jump,3220060121.0,Jump,0,30,12,7.0,8.0,,,,,,,,,,,,,,,,,,,
6504431,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_003,point_fly_cityforestunder_003,sbg_cityforestunder_003,CityForestUnder,Day,ibg_cityforestunder_001,1310030121,path_fly_mid_small_018,2210020121,Dash,2210020121.0,Dash,2210020121.0,Drop,2210020121.0,Drop,path_fly_mid_special_047,3210010121.0,Dash,2110010121.0,Dash,2110010121.0,Dash,1310020221.0,Dash,path_grd_close_small_004,3220040121.0,Drop,3220040121.0,Drop,3220040121.0,Drop,3220040121.0,Drop,path_fly_mid_elite1_802,0.0,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,1310030121.0,Drop,path_fly_mid_small_024,7.0,3210010121.0,Jump,3210010121.0,Jump,3210010121.0,Jump,1210040121.0,Jump,,,,,,,,,,,6,36,0,6.0,6.0,,,,,,,,,,,,,,,,,,,
6504432,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_cityforestunder_004,point_fly_cityforestunder_004,sbg_cityforestunder_004,CityForestUnder,Day,ibg_cityforestunder_001,2310040121,path_grd_mid_small_002,3220010121,Jump,3220010121.0,Jump,3220010121.0,Jump,3220010121.0,Jump,path_fly_mid_elite1_802,3210010121.0,Dash,3210010121.0,Dash,1210040121.0,Drop,2310040221.0,Drop,path_fly_mid_small_005,3210010121.0,Dash,3210010121.0,Dash,3210010121.0,Dash,3210010121.0,Dash,path_fly_mid_elite2_805,0.0,3210010121.0,Dash,3210010121.0,Dash,2310060221.0,Drop,2310040121.0,Drop,path_grd_mid_small_043,10.0,3220010121.0,Jump,3220010121.0,Jump,3220010121.0,Jump,3220010121.0,Jump,path_fly_mid_small_024,,3210010121.0,Dash,3210010121.0,Dash,3210010121.0,Dash,3210010121.0,Dash,0,42,0,6.0,8.0,,,,,,,,,,,,,,,,,,,
6504433,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_002,point_fly_cityforestunder_002,sbg_cityforestunder_002,CityForestUnder,Day,ibg_cityforestunder_001,2310020121,path_grd_mid_small_002,1220060121,Dash,1220060121.0,Dash,1220060121.0,Dash,1220060121.0,Dash,path_fly_mid_elite1_802,2210020121.0,Dash,2210020121.0,Dash,2210040121.0,Drop,2310020221.0,Drop,path_fly_mid_small_039,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,path_fly_mid_small_039,0.0,2210020121.0,Drop,2210020121.0,Drop,2210040121.0,Drop,2210040121.0,Drop,path_fly_mid_elite1_802,8.0,2210020121.0,Dash,2210020121.0,Dash,2210040121.0,Drop,2310020121.0,Drop,path_grd_mid_small_043,8.0,1220060121.0,Dash,1220060121.0,Dash,1220060121.0,Dash,1220060121.0,Dash,0,42,0,,7.0,,,,,,,,,,,,,,,,,,,
6504434,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_cityforestunder_005,point_fly_cityforestunder_005,sbg_cityforestunder_005,CityForestUnder,Day,ibg_cityforestunder_001,2320030121,path_fly_mid_small_018,1210030121,Dash,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,path_grd_mid_elite2_805,3220010121.0,Dash,3220010121.0,Dash,3320030221.0,Drop,2320030221.0,Drop,path_fly_mid_small_036,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,path_grd_mid_elite2_805,0.0,3220010121.0,Dash,3220010121.0,Dash,3320030221.0,Drop,3320030221.0,Drop,path_grd_mid_elite1_802,10.0,3220010121.0,Dash,3220010121.0,Dash,3220060121.0,Drop,2320030121.0,Drop,path_fly_mid_small_005,,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,0,45,0,5.0,10.0,,,,,,,,,,,,,,,,,,,
6504435,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_cityforestunder_001,point_fly_cityforestunder_001,sbg_cityforestunder_001,CityForestUnder,Day,ibg_cityforestunder_001,2320010121,path_grd_mid_small_002,3220040121,Dash,3220040121.0,Dash,3220040121.0,Dash,3220040121.0,Dash,path_fly_mid_small_050,3210010121.0,Dash,3210010121.0,Dash,3210010121.0,Dash,3210030121.0,Dash,path_grd_mid_elite1_802,3220040121.0,Drop,3220040121.0,Drop,3220060121.0,Drop,2320010221.0,Drop,path_grd_mid_elite2_808,0.0,3220040121.0,Dash,3220060121.0,Dash,1320030221.0,Drop,2320010121.0,Drop,path_fly_mid_small_050,10.0,3210010121.0,Dash,3210010121.0,Dash,3210010121.0,Dash,3210030121.0,Dash,path_grd_mid_small_043,7.0,3220040121.0,Drop,3220060121.0,Drop,3220040121.0,Drop,3220060121.0,Drop,0,42,0,,8.0,,,,,,,,,,,,,,,,,,,
6504436,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_cityforestunder_004,point_fly_cityforestunder_004,sbg_cityforestunder_004_midclear,CityForestUnder,Day,ibg_cityforestunder_001,3420070121,path_grd_mid_centurion_902,3420070121,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
6504437,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504438,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504439,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504440,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504441,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504442,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504443,wave_eventdungeon_017,Campaign,180,5,False,False,point_grd_alteisen_01,point_fly_alteisen_01,sbg_desertmbg001_001,Desert,Day,ibg_desert_001,3520010126,b_g_alteisen_01,3520010126,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6504501,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_004,point_fly_arkcityday_004,sbg_arkcityday_004,ArkCityDay,Day,ibg_arkcityday_001,1310020121,path_fly_mid_small_018,3210010121,Drop,3210010121.0,Drop,3210010121.0,Dash,3210010121.0,Dash,path_fly_close_special_046,2210010121.0,Drop,1110010121.0,Drop,1110010121.0,Drop,1310030221.0,Drop,path_grd_close_small_013,1220020121.0,Dash,1220020121.0,Dash,1220020121.0,Dash,1220020121.0,Dash,path_fly_close_elite1_801,0.0,3210010121.0,Dash,3210010121.0,Dash,2210010121.0,Drop,1310020121.0,Drop,path_fly_mid_small_050,7.0,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,3210030121.0,Dash,,,,,,,,,,,6,27,0,6.0,6.0,,,,,,,,,,,,,,,,,,,
6504502,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_005,point_fly_arkcityday_005,sbg_arkcityday_005,ArkCityDay,Day,ibg_arkcityday_001,3320070121,path_grd_close_small_001,1220020121,Drop,1220020121.0,Drop,1220020121.0,Dash,1220020121.0,Dash,path_grd_mid_elite1_802,1120010121.0,Jump,1120010121.0,Jump,2220030121.0,Drop,3320070221.0,Drop,path_fly_mid_small_053,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,3210030121.0,Dash,path_grd_mid_special_065,0.0,1120010121.0,Dash,1120010121.0,Dash,2220030121.0,Drop,3320070121.0,Drop,path_fly_mid_special_016,11.0,1110010121.0,Drop,1110010121.0,Drop,2210020121.0,Drop,3210030121.0,Drop,,,,,,,,,,,21,12,0,7.0,6.0,,,,,,,,,,,,,,,,,,,
6504503,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Day,ibg_arkcityday_001,2310040121,path_fly_mid_small_018,3210020121,Jump,3210020121.0,Jump,3210020121.0,Jump,3210020121.0,Jump,path_grd_mid_elite1_802,3220050121.0,Drop,3220050121.0,Drop,2220050121.0,Drop,2320030221.0,Drop,path_grd_mid_small_070,2220010121.0,Drop,2220010121.0,Drop,3220020121.0,Drop,2220010121.0,Drop,path_fly_mid_small_033,7.0,3210020121.0,Drop,3210020121.0,Drop,3210020121.0,Drop,3210040121.0,Drop,path_fly_mid_elite1_802,0.0,2210010121.0,Dash,2210010121.0,Dash,1210040121.0,Drop,2310040121.0,Drop,path_grd_mid_elite1_802,8.0,2120010121.0,Drop,2220010121.0,Drop,3220020121.0,Drop,2220050121.0,Drop,21,12,0,,,,,,,,,,,,,,,,,,,,,
6504504,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_002,point_fly_arkcityday_002,sbg_arkcityday_002,ArkCityDay,Day,ibg_arkcityday_001,3320040121,path_grd_far_small_053,1220060121,Dash,1220060121.0,Dash,1220060121.0,Dash,3220020121.0,Dash,path_grd_mid_elite1_802,3220050121.0,Jump,3220050121.0,Jump,2220050121.0,Drop,3320040221.0,Drop,path_fly_mid_small_050,2210010121.0,Drop,2210010121.0,Drop,2210010121.0,Drop,1210040121.0,Drop,path_grd_mid_elite2_808,0.0,3220050121.0,Jump,3220050121.0,Jump,3320040221.0,Drop,3320040121.0,Drop,path_fly_mid_special_016,6.0,2210010121.0,Drop,2110010121.0,Drop,2210010121.0,Drop,1210040121.0,Drop,,,,,,,,,,,0,30,0,6.0,,,,,,,,,,,,,,,,,,,,
6504505,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_003,point_fly_arkcityday_003,sbg_arkcityday_003,ArkCityDay,Day,ibg_arkcityday_001,2320020121,path_grd_mid_small_002,1220040121,Jump,1220040121.0,Jump,1220040121.0,Jump,1220040121.0,Jump,path_grd_mid_elite1_802,1220040121.0,Dash,1220040121.0,Dash,3220060121.0,Drop,2320070221.0,Drop,path_grd_mid_small_049,1220040121.0,Drop,3220060121.0,Drop,3220060121.0,Drop,3220060121.0,Drop,path_grd_mid_elite2_805,0.0,1220040121.0,Drop,3220060121.0,Drop,2320070221.0,Drop,2320020121.0,Drop,path_grd_close_small_004,8.0,1220040121.0,Dash,3220060121.0,Dash,1220040121.0,Dash,3220060121.0,Dash,path_grd_mid_small_005,6.0,1220040121.0,Dash,3220060121.0,Dash,1220040121.0,Dash,3220060121.0,Dash,0,15,18,5.0,10.0,,,,,,,,,,,,,,,,,,,
6504506,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_004,point_fly_arkcityday_004,sbg_arkcityday_004,ArkCityDay,Day,ibg_arkcityday_001,3320060121,path_grd_mid_small_002,2220030121,Jump,3220060121.0,Jump,2220030121.0,Jump,3220060121.0,Jump,path_grd_mid_elite2_805,2220030121.0,Drop,3220060121.0,Drop,3320060221.0,Drop,3320060221.0,Drop,path_grd_mid_small_012,2220030121.0,Drop,2220030121.0,Drop,3220060121.0,Drop,3220060121.0,Drop,path_grd_mid_elite2_805,0.0,2220030121.0,Drop,3220060121.0,Drop,3320060221.0,Drop,3320060121.0,Drop,path_grd_mid_special_025,7.0,2220030121.0,Drop,3120010121.0,Drop,3220060121.0,Drop,3220060121.0,Drop,,,,,,,,,,,0,24,12,,8.0,,,,,,,,,,,,,,,,,,,
6504507,wave_eventdungeon_017,Campaign,90,5,True,False,point_grd_arkcityday_003,point_fly_arkcityday_003,sbg_arkcityday_003,ArkCityDay,Day,ibg_arkcityday_001,1310010121,path_grd_mid_small_055,3220030121,Drop,3220030121.0,Drop,3220030121.0,Drop,3220030121.0,Drop,path_fly_mid_elite1_802,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,1310010221.0,Dash,path_grd_mid_small_043,3220030121.0,Drop,3220030121.0,Drop,3220030121.0,Drop,3220080121.0,Drop,path_fly_mid_elite1_802,0.0,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,1310010121.0,Dash,path_grd_mid_small_034,10.0,3220080121.0,Drop,3220030121.0,Drop,3220030121.0,Drop,3220030121.0,Drop,path_grd_mid_small_046,8.0,3220030121.0,Drop,3220030121.0,Drop,3220030121.0,Drop,3220080121.0,Drop,0,30,12,,8.0,,,,,,,,,,,,,,,,,,,
6504508,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Day,ibg_arkcityday_001,3310040121,path_grd_mid_small_049,1220020121,Dash,1220020121.0,Dash,1220020121.0,Dash,1220020121.0,Dash,path_fly_mid_elite1_802,1210020121.0,Drop,1210020121.0,Drop,3210030121.0,Drop,3310040221.0,Drop,path_grd_mid_small_046,1220020121.0,Drop,1220020121.0,Drop,1220020121.0,Drop,1220020121.0,Drop,path_grd_mid_small_034,0.0,1220020121.0,Jump,1220020121.0,Jump,1220020121.0,Jump,1320030221.0,Drop,path_fly_far_elite1_803,7.0,1210020121.0,Drop,1210020121.0,Drop,1210010121.0,Drop,3310040121.0,Drop,path_grd_mid_small_008,,1220020121.0,Dash,1220020121.0,Dash,1220020121.0,Dash,1220020121.0,Dash,0,33,0,,10.0,,,,,,,,,,,,,,,,,,,
6504509,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_arkcityday_005,point_fly_arkcityday_005,sbg_arkcityday_005,ArkCityDay,Day,ibg_arkcityday_001,2320010121,path_grd_mid_small_002,3220040121,Jump,3220040121.0,Jump,3220040121.0,Jump,3220040121.0,Jump,path_grd_mid_small_012,3220040121.0,Dash,2220010121.0,Dash,3220040121.0,Dash,2320010221.0,Dash,path_grd_mid_small_034,3320080221.0,Drop,2220010121.0,Drop,3220040121.0,Drop,3220040121.0,Drop,path_grd_mid_elite2_805,0.0,3220040121.0,Drop,2220010121.0,Drop,3320080221.0,Drop,2320010121.0,Drop,path_fly_mid_small_008,8.0,3220040121.0,Jump,3220040121.0,Jump,2220010121.0,Jump,2220010121.0,Jump,path_grd_mid_small_037,,3220040121.0,Jump,2220010121.0,Jump,3220040121.0,Jump,2220010121.0,Jump,12,45,15,5.0,10.0,,,,,,,,,,,,,,,,,,,
6504510,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_arkcityday_002,point_fly_arkcityday_002,sbg_arkcityday_002,ArkCityDay,Day,ibg_arkcityday_001,1320060121,path_grd_mid_small_005,1220010121,Dash,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,path_grd_mid_small_068,1220010121.0,Drop,1220010121.0,Drop,1220010121.0,Drop,2320020221.0,Drop,path_grd_mid_elite1_802,1220010121.0,Drop,1220010121.0,Drop,1220010121.0,Drop,1320060221.0,Drop,path_grd_mid_small_043,,1220010121.0,Drop,1220010121.0,Drop,1220010121.0,Drop,1220010121.0,Drop,path_grd_mid_elite2_805,0.0,1220010121.0,Dash,1220010121.0,Dash,2320020221.0,Drop,1320060121.0,Drop,path_grd_mid_small_043,,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,6,27,0,5.0,10.0,path_grd_close_small_067,6.0,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,2320020221.0,Drop,,,,,,,,,
6504511,wave_eventdungeon_017,Campaign,90,7,True,False,point_grd_arkcityday_001,point_fly_arkcityday_001,sbg_arkcityday_001,ArkCityDay,Day,ibg_arkcityday_001,3310050121,path_grd_mid_small_002,1220060121,Dash,1220060121.0,Dash,1220060121.0,Dash,1220060121.0,Dash,path_fly_mid_small_033,2210010121.0,Dash,1210010121.0,Dash,2210010121.0,Dash,2310060221.0,Drop,path_fly_mid_elite1_802,2210010121.0,Dash,1210010121.0,Dash,2210010121.0,Dash,3310050221.0,Drop,path_fly_mid_elite2_805,0.0,2210010121.0,Drop,2210010121.0,Drop,2310060221.0,Drop,3310050121.0,Drop,path_grd_mid_small_043,10.0,1220060121.0,Dash,1220060121.0,Dash,1220060121.0,Dash,1220060121.0,Dash,path_fly_mid_small_033,8.0,2210010121.0,Dash,2210010121.0,Dash,2210010121.0,Dash,2310060221.0,Drop,0,22,20,,10.0,,,,,,,,,,,,,,,,,,,
